 0  0.034512136465 -24.000000000000 10.000000
 1  0.017256068233 -24.000000000000 10.000000
 2  0.008628034116 -24.000000000000 10.000000
 3  0.004314017058 -24.000000000000 10.000000
 4  0.002157008529 -24.000000000000 10.000000
 5  0.001078504265 -24.000000000000 10.000000
 6  0.000539252132 -24.000000000000 10.000000
 7  0.000269626066 -24.000000000000 10.000000
 8  0.000134813033 -24.000000000000 10.000000
 9  0.000067406517 -24.000000000000 10.000000
 10  0.000033703258 -24.000000000000 10.000000
 11  0.000016851629 -24.000000000000 10.000000
 12  0.000008425815 -24.000000000000 10.000000
 13  0.000004212907 -24.000000000000 10.000000
 14  0.000002106454 -24.000000000000 10.000000
 15  0.000001053227 -24.000000000000 10.000000
 16  0.000000526613 -24.000000000000 10.000000
 17  0.000000263307 -24.000000000000 10.000000
 18  0.000000131653 -24.000000000000 10.000000
 19  0.000000065827 -24.000000000000 10.000000
 20  0.000000032913 -24.000000000000 10.000000
 21  0.000000016457 -24.000000000000 10.000000
 22  0.000000008228 -24.000000000000 10.000000
 23  0.000000004114 -24.000000000000 10.000000
 24  0.000000002057 -24.000000000000 10.000000
 25  0.000000001029 -24.000000000000 10.000000
 26  0.000000000514 -24.000000000000 10.000000
 27  0.000000000257 -24.000000000000 10.000000
 28  0.000000000129 -24.000000000000 10.000000
 29  0.000000000064 -24.000000000000 10.000000
