======================
NOrbitalIdx  16
======================
======================
======================
0  4.713025815094502580e-01  0.000000000000000000e+00 
1  2.645453010475045108e+00  0.000000000000000000e+00 
2  9.689128573173968473e-01  0.000000000000000000e+00 
3  1.499661757262769513e+00  0.000000000000000000e+00 
4  3.287415125851734232e-01  0.000000000000000000e+00 
5  2.526486406763307713e+00  0.000000000000000000e+00 
6  8.824460271643269627e-01  0.000000000000000000e+00 
7  1.432439903132175285e+00  0.000000000000000000e+00 
8  6.523354561378418293e-01  0.000000000000000000e+00 
9  1.434552533436868282e+00  0.000000000000000000e+00 
10  1.610412919221815287e+00  0.000000000000000000e+00 
11  4.000000000000000000e+00  0.000000000000000000e+00 
12  5.511260281044090270e-01  0.000000000000000000e+00 
13  1.233173602853435913e+00  0.000000000000000000e+00 
14  1.458247214663913605e+00  0.000000000000000000e+00 
15  3.918733433270097155e+00  0.000000000000000000e+00 
