 9.593918132816090960e+00  1.277491105535049911e+02  3.879245848171212208e-01 
 6.942377289943002516e+00  8.056264521730872730e+01  6.715419997587432910e-01 
 4.415099674317829681e+00  5.184020330787363662e+01  1.659412287118093188e+00 
 2.137713292308419000e+00  3.304865494375435730e+01  6.231940982137743390e+00 
 2.309359525230413393e-03  2.306514286057165108e+01  4.324868914012223482e+06 
-1.370580966215289909e+00  2.567114205398868521e+01  1.266582318501878568e+01 
-2.995736119132079711e+00  3.042879419746770964e+01  2.390608383912682378e+00 
-3.893714132514154436e+00  3.211512577802495372e+01  1.118270901253646699e+00 
-4.843116532872455693e+00  3.789232284199279377e+01  6.154792752675003475e-01 
-5.149689747986521127e+00  5.188731673395036381e+01  9.565866341984147203e-01 
-5.459956078407915747e+00  4.514692314273075624e+01  5.144322846661903981e-01 
-6.431372630789525147e+00  5.320473280930210080e+01  2.863019270343715172e-01 
