00000  acc_hop acc_ex  n_hop    n_ex     : Sun Aug 16 23:08:41 2015
00001  0.07367 0.26755 2160483  2159517  : Sun Aug 16 23:08:56 2015
00002  0.06898 0.26481 1090295  1091305  : Sun Aug 16 23:09:09 2015
00003  0.06775 0.25041 1091587  1090013  : Sun Aug 16 23:09:22 2015
00004  0.06858 0.25158 1090682  1090918  : Sun Aug 16 23:09:35 2015
00005  0.06769 0.25487 1089655  1091945  : Sun Aug 16 23:09:49 2015
