#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
   92    84     0     8  1.54106e+02  1.62236e-03  4.32983e-03    12
   92    84     0     8  2.23244e+02  1.87148e-03 -2.79022e-03    22
   92    84     0     8  1.58141e+02  1.12373e-03 -2.71226e-03    12
   92    84     0     8  2.02885e+02  1.99600e-03  5.03635e-03    12
   92    84     0     8  1.83723e+02  1.62311e-03 -3.09693e-03    19
   92    84     0     8  1.60955e+02  1.87148e-03  2.53288e-03    19
   92    84     0     8  1.87142e+02  2.49375e-03  3.76883e-03     0
   92    84     0     8  2.38135e+02  1.99600e-03  2.13582e-03    13
   92    84     0     8  1.91671e+02  1.49775e-03 -3.16719e-03    10
   92    84     0     8  1.85256e+02  2.36936e-03  4.83061e-03    10
   92    84     0     8  2.44672e+02  2.12048e-03  3.14694e-03    18
   92    84     0     8  1.78191e+02  1.37311e-03  2.05475e-03     5
   92    84     0     8  1.86893e+02  1.37311e-03 -4.73177e-03     0
   92    84     0     8  1.82991e+02  1.62236e-03 -3.33481e-03     0
   92    84     0     8  2.00555e+02  2.49375e-03  6.78824e-03     0
   92    84     0     8  2.30740e+02  1.74694e-03 -4.28073e-03     0
   92    84     0     8  2.66095e+02  2.36936e-03 -4.32392e-03    23
   92    84     0     8  2.25370e+02  1.62236e-03  7.94351e-03    23
   92    69     0    23  8.75229e+02  2.61811e-03  9.44573e-04     0
   92    84     0     8  3.47566e+02  2.74375e-03 -4.45970e-03    19
   92    84     0     8  3.65867e+02  2.36936e-03 -5.22186e-03    18
   92    84     0     8  2.15463e+02  1.12373e-03 -5.01775e-03    12
   92    84     0     8  2.18318e+02  1.74694e-03 -2.83210e-03     0
   92    84     0     8  1.80182e+02  2.36936e-03  4.41819e-03    19
   92    82     0    10  4.24593e+02  2.12048e-03 -2.48634e-03    22
   92    84     0     8  2.01124e+02  1.37311e-03 -2.55080e-03    10
   92    84     0     8  2.39778e+02  1.62236e-03 -5.55018e-03    18
   92    82     0    10  4.11069e+02  2.74244e-03 -1.66503e-03     0
   92    84     0     8  3.11595e+02  1.12373e-03  2.36520e-03    10
   92    84     0     8  2.89975e+02  1.62236e-03 -4.30035e-03    11
   92    84     0     8  3.52637e+02  1.99600e-03  5.17669e-03    19
   92    84     0     8  2.83407e+02  1.12373e-03  3.66181e-03     0
   92    84     0     8  2.48563e+02  1.62236e-03  2.41589e-03    23
   92    84     0     8  2.33141e+02  1.74694e-03  4.11909e-03    11
   92    84     0     8  2.28229e+02  1.74694e-03  2.87229e-03    12
   92    71     0    21  7.64971e+02  1.99600e-03  2.13243e-03     2
   92    71     0    21  7.65379e+02  3.11811e-03 -2.03177e-03     2
   92    84     0     8  3.13843e+02  1.37311e-03 -2.89690e-03     0
   92    84     0     8  2.67204e+02  1.49775e-03  8.23351e-03     0
   92    71     0    21  8.31220e+02  1.74694e-03 -1.68937e-03     4
   92    84     0     8  3.04570e+02  1.87148e-03  2.82911e-03    23
   92    82     0    10  4.02322e+02  1.99600e-03 -4.73882e-03    12
   92    84     0     8  3.36450e+02  2.86811e-03 -5.36295e-03     0
   92    84     0     8  3.62342e+02  2.24494e-03  6.79664e-03     9
   92    84     0     8  2.92337e+02  1.37311e-03  5.47475e-03    22
   92    84     0     8  3.58953e+02  2.12048e-03  2.96436e-03    22
   92    84     0     8  3.08180e+02  1.12373e-03 -4.15559e-03    22
   92    84     0     8  2.11934e+02  1.12373e-03  4.73841e-03    22
   92    82     0    10  4.92629e+02  1.87148e-03  3.08457e-03    11
   92    84     0     8  2.71091e+02  1.12423e-03 -3.52006e-03    23
   92    84     0     8  2.19974e+02  1.87148e-03 -2.55302e-03    10
   92    84     0     8  3.61789e+02  2.49494e-03 -5.01353e-03    22
   92    84     0     8  2.55931e+02  2.24494e-03 -4.54255e-03    11
   92    84     0     8  2.37206e+02  1.74694e-03 -5.20450e-03    23
   92    84     0     8  1.95872e+02  1.49775e-03 -2.42402e-03    19
   92    82     0    10  4.06788e+02  1.99600e-03 -3.58808e-03    11
   92    84     0     8  3.75487e+02  1.49775e-03  4.94288e-03    11
   92    84     0     8  2.75736e+02  1.49775e-03  2.81297e-03    23
   92    84     0     8  2.49591e+02  1.87148e-03 -4.84438e-03    23
   92    84     0     8  1.97453e+02  1.62236e-03  5.94774e-03    12
   92    82     0    10  4.05204e+02  1.37311e-03  1.58858e-03    20
   92    82     0    10  3.89856e+02  1.49775e-03  2.92311e-03     8
   92    84     0     8  2.19299e+02  1.99600e-03 -3.84983e-03    23
   92    84     0     8  2.10506e+02  1.74694e-03  3.84154e-03    23
   92    84     0     8  2.35361e+02  8.74234e-04 -4.16496e-03    11
   92    84     0     8  2.16596e+02  2.12048e-03  4.09699e-03    10
   92    84     0     8  2.75816e+02  2.24494e-03 -3.83729e-03    10
   92    84     0     8  2.55416e+02  2.24494e-03  5.06113e-03    22
   92    75     0    17  6.94647e+02  1.24844e-03 -3.82126e-03     7
   92    84     0     8  2.28085e+02  1.62311e-03 -3.60319e-03     8
   92    84     0     8  2.44667e+02  2.12048e-03 -2.72597e-03     5
   92    84     0     8  2.12183e+02  2.24494e-03  3.85127e-03    10
   92    84     0     8  2.35487e+02  9.99000e-04 -3.26545e-03    39
   92    84     0     8  1.86968e+02  2.12048e-03  2.53353e-03    12
   92    84     0     8  1.69844e+02  9.99000e-04 -5.63051e-03     0
   92    84     0     8  1.63467e+02  1.24844e-03 -6.60171e-03    12
   92    84     0     8  1.77821e+02  1.87148e-03 -4.29935e-03    10
   92    84     0     8  1.86872e+02  1.62236e-03 -5.53492e-03    12
   92    84     0     8  1.67959e+02  1.49775e-03  5.27015e-03    12
   92    84     0     8  1.62984e+02  1.49775e-03 -5.60003e-03    18
   92    84     0     8  1.89726e+02  1.49775e-03  2.53407e-03    18
   92    84     0     8  2.14810e+02  1.37311e-03  4.92089e-03    22
   92    84     0     8  1.66757e+02  1.24844e-03 -4.76318e-03    13
   92    84     0     8  2.24771e+02  1.12373e-03 -4.94973e-03    12
   92    84     0     8  2.31378e+02  1.24844e-03  2.98253e-03    11
   92    84     0     8  2.81321e+02  1.12373e-03  7.81461e-03    12
   92    84     0     8  2.58588e+02  9.99000e-04  3.32670e-03     0
   92    84     0     8  3.76082e+02  2.12048e-03 -4.47934e-03    13
   92    84     0     8  3.48214e+02  9.99000e-04 -6.70644e-03    22
   92    80     0    12  5.99720e+02  2.12048e-03  2.32215e-03    10
   92    84     0     8  3.02577e+02  1.37311e-03 -6.75310e-03    11
   92    84     0     8  2.03054e+02  7.49438e-04 -5.63813e-03    12
   92    84     0     8  2.22421e+02  1.62311e-03  3.71631e-03    12
   92    84     0     8  3.60761e+02  1.99600e-03 -3.52371e-03    13
   92    84     0     8  2.35463e+02  1.24844e-03 -4.91163e-03    23
   92    84     0     8  2.49637e+02  1.87148e-03  4.13961e-03    23
   92    84     0     8  2.27578e+02  1.49775e-03 -3.97040e-03    13
   92    84     0     8  3.06880e+02  2.24494e-03 -1.93886e-03     8
   92    84     0     8  2.44207e+02  1.24844e-03  5.16518e-03    13
   92    84     0     8  2.09270e+02  1.37311e-03 -4.70541e-03    13
   92    69     0    23  9.28440e+02  1.62236e-03  8.28675e-04     2
   92    84     0     8  2.53940e+02  1.62236e-03  6.68415e-03    19
   92    84     0     8  3.44125e+02  1.74694e-03 -4.68990e-03    22
   92    84     0     8  2.09787e+02  1.12373e-03 -3.48332e-03    19
   92    84     0     8  2.26423e+02  1.99600e-03  2.86892e-03    11
   92    82     0    10  4.41132e+02  1.87148e-03  4.49150e-03    11
   92    84     0     8  3.00801e+02  1.24844e-03 -2.99365e-03     0
   92    84     0     8  2.60566e+02  1.74775e-03  4.43340e-03    19
   92    84     0     8  2.52095e+02  1.37311e-03 -3.16842e-03    19
   92    84     0     8  2.33942e+02  9.99000e-04  3.52694e-03    12
   92    84     0     8  2.53332e+02  1.49775e-03  3.75410e-03    10
   92    84     0     8  1.89695e+02  2.24494e-03 -3.07031e-03    19
   92    84     0     8  2.15695e+02  8.74234e-04  6.32312e-03    23
   92    84     0     8  2.01183e+02  1.37311e-03  1.69948e-03     8
   92    84     0     8  2.66412e+02  2.86673e-03  4.18721e-03    19
   92    84     0     8  1.98962e+02  1.62236e-03  2.88336e-03     0
   92    84     0     8  2.66125e+02  1.62236e-03 -5.89963e-03    10
   92    84     0     8  2.21011e+02  1.74694e-03 -4.98006e-03    23
   92    78     0    14  6.80713e+02  9.99000e-04  2.85600e-03     9
   92    84     0     8  2.16574e+02  1.99600e-03  3.86957e-03     0
   92    84     0     8  1.91914e+02  1.12373e-03 -5.36631e-03    10
   92    84     0     8  2.01346e+02  1.24844e-03  1.69111e-03    10
   92    84     0     8  2.17170e+02  1.49775e-03 -4.11418e-03    23
   92    84     0     8  2.23041e+02  1.24844e-03 -3.40279e-03     0
   92    80     0    12  5.57321e+02  1.24844e-03  3.11363e-03     0
   92    84     0     8  3.49939e+02  2.12148e-03  5.04155e-03    12
   92    84     0     8  2.00528e+02  1.37311e-03 -4.80531e-03     0
   92    84     0     8  2.05793e+02  1.74775e-03 -3.33912e-03    12
   92    84     0     8  2.13797e+02  2.36936e-03 -4.54924e-03    23
   92    84     0     8  2.30628e+02  1.49775e-03  6.53206e-03    10
   92    84     0     8  1.78863e+02  1.12373e-03 -5.89218e-03    12
   92    84     0     8  2.62643e+02  1.74694e-03 -3.01795e-03    22
   92    84     0     8  2.00931e+02  1.99600e-03  4.28496e-03    23
   92    84     0     8  3.54101e+02  2.61811e-03 -2.71774e-03    13
   92    84     0     8  2.41513e+02  1.49775e-03  5.35786e-03    11
   92    84     0     8  2.62649e+02  6.24609e-04 -4.64996e-03    23
   92    80     0    12  4.82991e+02  1.49775e-03  2.80006e-03    11
   92    84     0     8  2.40732e+02  1.49775e-03  6.13717e-03    23
   92    84     0     8  1.97088e+02  1.74694e-03  5.75568e-03    11
   92    84     0     8  1.82825e+02  9.99000e-04  3.91584e-03    22
   92    84     0     8  2.26386e+02  1.49775e-03 -3.56378e-03     6
   92    80     0    12  6.24177e+02  1.62236e-03  4.61452e-03    12
   92    84     0     8  1.90575e+02  1.62236e-03  2.83973e-03    10
   92    84     0     8  2.65653e+02  1.37311e-03 -4.21829e-03    13
   92    84     0     8  1.82373e+02  9.99000e-04  3.39962e-03    23
   92    84     0     8  1.81484e+02  1.62236e-03 -6.15860e-03    23
   92    84     0     8  1.82093e+02  1.74694e-03  6.58124e-03    23
   92    81     0    11  5.10790e+02  1.49775e-03 -4.80162e-03    23
   92    84     0     8  1.93746e+02  9.99000e-04 -4.00910e-03     0
   92    84     0     8  2.44183e+02  2.36936e-03 -4.42825e-03    22
   92    82     0    10  4.56888e+02  1.37311e-03 -2.86818e-03     9
   92    84     0     8  2.47328e+02  1.87236e-03  2.13409e-03    21
   92    84     0     8  1.90168e+02  1.49775e-03  3.15784e-03     0
   92    84     0     8  3.02646e+02  1.99600e-03  3.37599e-03    11
   92    84     0     8  1.56091e+02  1.87148e-03  3.78269e-03     5
   92    84     0     8  2.30832e+02  1.37311e-03  2.76833e-03    12
   92    84     0     8  3.09063e+02  8.74234e-04 -4.11586e-03    12
   92    84     0     8  1.52887e+02  1.37311e-03  2.95118e-03    12
   92    75     0    17  7.15535e+02  1.24844e-03  3.25610e-03     2
