 0  0.004925645652 -544.963484605164 36.000000
 1  0.002481594941 -278.304285708488 36.000000
 2  0.001274395448 -147.247026925130 36.000000
 3  0.000681060599 -82.973664527606 36.000000
 4  0.000383441840 -50.952651209434 36.000000
 5  0.000225522442 -34.518443977904 36.000000
 6  0.000135888274 -25.821457407839 36.000000
 7  0.000082506731 -21.108238590807 36.000000
 8  0.000050009140 -18.512948424570 36.000000
 9  0.000030143372 -17.069704497972 36.000000
 10  0.000018059750 -16.262403575866 36.000000
 11  0.000010777860 -15.809296954632 36.000000
 12  0.000006444879 -15.554498060964 36.000000
 13  0.000003914983 -15.411063908920 36.000000
 14  0.000002485850 -15.330276788909 36.000000
 15  0.000001722996 -15.284764986715 36.000000
 16  0.000001343366 -15.259126468760 36.000000
 17  0.000001159150 -15.244687087910 36.000000
 18  0.000001061277 -15.236559385140 36.000000
 19  0.000000998317 -15.231988801960 36.000000
 20  0.000000949555 -15.229422675846 36.000000
 21  0.000000907277 -15.227985776269 36.000000
 22  0.000000868671 -15.227184746160 36.000000
 23  0.000000832679 -15.226741506536 36.000000
 24  0.000000798858 -15.226499341997 36.000000
 25  0.000000766982 -15.226369955243 36.000000
 26  0.000000736906 -15.226303617565 36.000000
 27  0.000000708512 -15.226272340225 36.000000
 28  0.000000681698 -15.226260386899 36.000000
 29  0.000000656371 -15.226258924979 36.000000
 30  0.000000632442 -15.226263010360 36.000000
 31  0.000000609830 -15.226269887822 36.000000
 32  0.000000588456 -15.226278033123 36.000000
 33  0.000000568248 -15.226286613242 36.000000
 34  0.000000549138 -15.226295182343 36.000000
 35  0.000000531059 -15.226303510615 36.000000
 36  0.000000513952 -15.226311488003 36.000000
 37  0.000000497757 -15.226319070133 36.000000
 38  0.000000482423 -15.226326248010 36.000000
 39  0.000000467896 -15.226333031102 36.000000
 40  0.000000454130 -15.226339437946 36.000000
 41  0.000000441079 -15.226345490987 36.000000
 42  0.000000428700 -15.226351213787 36.000000
 43  0.000000416954 -15.226356629558 36.000000
 44  0.000000405803 -15.226361760428 36.000000
 45  0.000000395210 -15.226366627119 36.000000
 46  0.000000385144 -15.226371248835 36.000000
 47  0.000000375573 -15.226375643274 36.000000
 48  0.000000366467 -15.226379826695 36.000000
 49  0.000000357798 -15.226383814009 36.000000
 50  0.000000349541 -15.226387618886 36.000000
 51  0.000000341672 -15.226391253854 36.000000
 52  0.000000334167 -15.226394730402 36.000000
 53  0.000000327005 -15.226398059071 36.000000
 54  0.000000320166 -15.226401249537 36.000000
 55  0.000000313631 -15.226404310695 36.000000
 56  0.000000307383 -15.226407250721 36.000000
 57  0.000000301404 -15.226410077146 36.000000
 58  0.000000295679 -15.226412796904 36.000000
 59  0.000000290194 -15.226415416393 36.000000
 60  0.000000284934 -15.226417941519 36.000000
 61  0.000000279888 -15.226420377740 36.000000
 62  0.000000275042 -15.226422730103 36.000000
 63  0.000000270386 -15.226425003280 36.000000
 64  0.000000265909 -15.226427201605 36.000000
 65  0.000000261602 -15.226429329094 36.000000
 66  0.000000257454 -15.226431389479 36.000000
 67  0.000000253457 -15.226433386228 36.000000
 68  0.000000249603 -15.226435322567 36.000000
 69  0.000000245885 -15.226437201503 36.000000
 70  0.000000242295 -15.226439025836 36.000000
 71  0.000000238825 -15.226440798181 36.000000
 72  0.000000235471 -15.226442520980 36.000000
 73  0.000000232226 -15.226444196514 36.000000
 74  0.000000229085 -15.226445826922 36.000000
 75  0.000000226041 -15.226447414203 36.000000
 76  0.000000223091 -15.226448960233 36.000000
 77  0.000000220229 -15.226450466773 36.000000
 78  0.000000217452 -15.226451935477 36.000000
 79  0.000000214754 -15.226453367899 36.000000
 80  0.000000212133 -15.226454765501 36.000000
 81  0.000000209585 -15.226456129661 36.000000
 82  0.000000207106 -15.226457461678 36.000000
 83  0.000000204692 -15.226458762777 36.000000
 84  0.000000202342 -15.226460034114 36.000000
 85  0.000000200051 -15.226461276782 36.000000
 86  0.000000197818 -15.226462491816 36.000000
 87  0.000000195640 -15.226463680193 36.000000
 88  0.000000193514 -15.226464842841 36.000000
 89  0.000000191438 -15.226465980638 36.000000
 90  0.000000189410 -15.226467094420 36.000000
 91  0.000000187428 -15.226468184976 36.000000
 92  0.000000185489 -15.226469253061 36.000000
 93  0.000000183593 -15.226470299390 36.000000
 94  0.000000181738 -15.226471324644 36.000000
 95  0.000000179921 -15.226472329471 36.000000
 96  0.000000178141 -15.226473314490 36.000000
 97  0.000000176397 -15.226474280291 36.000000
 98  0.000000174687 -15.226475227437 36.000000
 99  0.000000173010 -15.226476156465 36.000000
 100  0.000000171365 -15.226477067888 36.000000
 101  0.000000169751 -15.226477962200 36.000000
 102  0.000000168166 -15.226478839869 36.000000
 103  0.000000166609 -15.226479701347 36.000000
 104  0.000000165080 -15.226480547064 36.000000
 105  0.000000163577 -15.226481377436 36.000000
 106  0.000000162099 -15.226482192858 36.000000
 107  0.000000160646 -15.226482993713 36.000000
 108  0.000000159217 -15.226483780366 36.000000
 109  0.000000157811 -15.226484553170 36.000000
 110  0.000000156427 -15.226485312463 36.000000
 111  0.000000155064 -15.226486058571 36.000000
 112  0.000000153722 -15.226486791808 36.000000
 113  0.000000152400 -15.226487512477 36.000000
 114  0.000000151097 -15.226488220868 36.000000
 115  0.000000149813 -15.226488917263 36.000000
 116  0.000000148548 -15.226489601933 36.000000
 117  0.000000147300 -15.226490275140 36.000000
 118  0.000000146070 -15.226490937137 36.000000
 119  0.000000144856 -15.226491588168 36.000000
 120  0.000000143658 -15.226492228470 36.000000
 121  0.000000142476 -15.226492858272 36.000000
 122  0.000000141309 -15.226493477795 36.000000
 123  0.000000140158 -15.226494087253 36.000000
 124  0.000000139021 -15.226494686855 36.000000
 125  0.000000137897 -15.226495276800 36.000000
 126  0.000000136788 -15.226495857286 36.000000
 127  0.000000135692 -15.226496428500 36.000000
 128  0.000000134609 -15.226496990628 36.000000
 129  0.000000133539 -15.226497543847 36.000000
 130  0.000000132481 -15.226498088330 36.000000
 131  0.000000131435 -15.226498624247 36.000000
 132  0.000000130401 -15.226499151761 36.000000
 133  0.000000129379 -15.226499671030 36.000000
 134  0.000000128368 -15.226500182211 36.000000
 135  0.000000127368 -15.226500685453 36.000000
 136  0.000000126378 -15.226501180905 36.000000
 137  0.000000125400 -15.226501668707 36.000000
 138  0.000000124431 -15.226502149001 36.000000
 139  0.000000123473 -15.226502621921 36.000000
 140  0.000000122524 -15.226503087600 36.000000
 141  0.000000121585 -15.226503546167 36.000000
 142  0.000000120656 -15.226503997747 36.000000
 143  0.000000119736 -15.226504442465 36.000000
 144  0.000000118825 -15.226504880438 36.000000
 145  0.000000117923 -15.226505311786 36.000000
 146  0.000000117030 -15.226505736621 36.000000
 147  0.000000116145 -15.226506155056 36.000000
 148  0.000000115269 -15.226506567200 36.000000
 149  0.000000114402 -15.226506973159 36.000000
 150  0.000000113542 -15.226507373038 36.000000
 151  0.000000112690 -15.226507766939 36.000000
 152  0.000000111847 -15.226508154961 36.000000
 153  0.000000111011 -15.226508537203 36.000000
 154  0.000000110182 -15.226508913759 36.000000
 155  0.000000109361 -15.226509284724 36.000000
 156  0.000000108548 -15.226509650188 36.000000
 157  0.000000107742 -15.226510010242 36.000000
 158  0.000000106942 -15.226510364973 36.000000
 159  0.000000106150 -15.226510714468 36.000000
 160  0.000000105365 -15.226511058810 36.000000
 161  0.000000104587 -15.226511398083 36.000000
 162  0.000000103815 -15.226511732367 36.000000
 163  0.000000103050 -15.226512061742 36.000000
 164  0.000000102292 -15.226512386285 36.000000
 165  0.000000101540 -15.226512706073 36.000000
 166  0.000000100794 -15.226513021182 36.000000
 167  0.000000100055 -15.226513331683 36.000000
 168  0.000000099322 -15.226513637650 36.000000
 169  0.000000098595 -15.226513939153 36.000000
 170  0.000000097874 -15.226514236262 36.000000
 171  0.000000097159 -15.226514529045 36.000000
 172  0.000000096450 -15.226514817568 36.000000
 173  0.000000095746 -15.226515101898 36.000000
 174  0.000000095049 -15.226515382099 36.000000
 175  0.000000094357 -15.226515658234 36.000000
 176  0.000000093671 -15.226515930366 36.000000
 177  0.000000092990 -15.226516198556 36.000000
 178  0.000000092314 -15.226516462863 36.000000
 179  0.000000091644 -15.226516723347 36.000000
 180  0.000000090980 -15.226516980066 36.000000
 181  0.000000090320 -15.226517233078 36.000000
 182  0.000000089666 -15.226517482437 36.000000
 183  0.000000089017 -15.226517728198 36.000000
 184  0.000000088373 -15.226517970417 36.000000
 185  0.000000087735 -15.226518209147 36.000000
 186  0.000000087101 -15.226518444439 36.000000
 187  0.000000086472 -15.226518676345 36.000000
 188  0.000000085848 -15.226518904916 36.000000
 189  0.000000085229 -15.226519130201 36.000000
 190  0.000000084614 -15.226519352250 36.000000
 191  0.000000084005 -15.226519571110 36.000000
 192  0.000000083400 -15.226519786830 36.000000
 193  0.000000082800 -15.226519999454 36.000000
 194  0.000000082204 -15.226520209030 36.000000
 195  0.000000081613 -15.226520415603 36.000000
 196  0.000000081026 -15.226520619217 36.000000
 197  0.000000080444 -15.226520819915 36.000000
 198  0.000000079866 -15.226521017740 36.000000
 199  0.000000079293 -15.226521212735 36.000000
 200  0.000000078724 -15.226521404941 36.000000
 201  0.000000078159 -15.226521594400 36.000000
 202  0.000000077599 -15.226521781151 36.000000
 203  0.000000077043 -15.226521965235 36.000000
 204  0.000000076491 -15.226522146690 36.000000
 205  0.000000075943 -15.226522325554 36.000000
 206  0.000000075399 -15.226522501866 36.000000
 207  0.000000074859 -15.226522675663 36.000000
 208  0.000000074324 -15.226522846981 36.000000
 209  0.000000073792 -15.226523015857 36.000000
 210  0.000000073264 -15.226523182327 36.000000
 211  0.000000072741 -15.226523346424 36.000000
 212  0.000000072221 -15.226523508184 36.000000
 213  0.000000071705 -15.226523667641 36.000000
 214  0.000000071193 -15.226523824827 36.000000
 215  0.000000070684 -15.226523979777 36.000000
 216  0.000000070180 -15.226524132522 36.000000
 217  0.000000069679 -15.226524283094 36.000000
 218  0.000000069181 -15.226524431525 36.000000
 219  0.000000068688 -15.226524577846 36.000000
 220  0.000000068198 -15.226524722087 36.000000
 221  0.000000067712 -15.226524864278 36.000000
 222  0.000000067229 -15.226525004449 36.000000
 223  0.000000066750 -15.226525142629 36.000000
 224  0.000000066274 -15.226525278846 36.000000
 225  0.000000065802 -15.226525413130 36.000000
 226  0.000000065333 -15.226525545507 36.000000
 227  0.000000064868 -15.226525676006 36.000000
 228  0.000000064406 -15.226525804653 36.000000
 229  0.000000063948 -15.226525931475 36.000000
 230  0.000000063493 -15.226526056498 36.000000
 231  0.000000063041 -15.226526179748 36.000000
 232  0.000000062592 -15.226526301251 36.000000
 233  0.000000062147 -15.226526421031 36.000000
 234  0.000000061705 -15.226526539114 36.000000
 235  0.000000061267 -15.226526655523 36.000000
 236  0.000000060831 -15.226526770283 36.000000
 237  0.000000060399 -15.226526883417 36.000000
 238  0.000000059969 -15.226526994949 36.000000
 239  0.000000059543 -15.226527104901 36.000000
 240  0.000000059120 -15.226527213296 36.000000
 241  0.000000058700 -15.226527320157 36.000000
 242  0.000000058283 -15.226527425505 36.000000
 243  0.000000057869 -15.226527529362 36.000000
 244  0.000000057458 -15.226527631750 36.000000
 245  0.000000057051 -15.226527732689 36.000000
 246  0.000000056646 -15.226527832200 36.000000
 247  0.000000056243 -15.226527930303 36.000000
 248  0.000000055844 -15.226528027019 36.000000
 249  0.000000055448 -15.226528122368 36.000000
 250  0.000000055055 -15.226528216368 36.000000
 251  0.000000054664 -15.226528309039 36.000000
 252  0.000000054276 -15.226528400400 36.000000
 253  0.000000053892 -15.226528490470 36.000000
 254  0.000000053509 -15.226528579268 36.000000
 255  0.000000053130 -15.226528666810 36.000000
 256  0.000000052753 -15.226528753116 36.000000
 257  0.000000052379 -15.226528838203 36.000000
 258  0.000000052008 -15.226528922087 36.000000
 259  0.000000051640 -15.226529004787 36.000000
 260  0.000000051274 -15.226529086320 36.000000
 261  0.000000050910 -15.226529166701 36.000000
 262  0.000000050550 -15.226529245947 36.000000
 263  0.000000050192 -15.226529324074 36.000000
 264  0.000000049836 -15.226529401099 36.000000
 265  0.000000049483 -15.226529477037 36.000000
 266  0.000000049133 -15.226529551903 36.000000
 267  0.000000048785 -15.226529625712 36.000000
 268  0.000000048440 -15.226529698480 36.000000
 269  0.000000048097 -15.226529770222 36.000000
 270  0.000000047756 -15.226529840952 36.000000
 271  0.000000047418 -15.226529910684 36.000000
 272  0.000000047083 -15.226529979432 36.000000
 273  0.000000046750 -15.226530047212 36.000000
 274  0.000000046419 -15.226530114035 36.000000
 275  0.000000046090 -15.226530179916 36.000000
 276  0.000000045764 -15.226530244869 36.000000
 277  0.000000045441 -15.226530308906 36.000000
 278  0.000000045119 -15.226530372040 36.000000
 279  0.000000044800 -15.226530434285 36.000000
 280  0.000000044483 -15.226530495652 36.000000
 281  0.000000044169 -15.226530556155 36.000000
 282  0.000000043857 -15.226530615806 36.000000
 283  0.000000043547 -15.226530674616 36.000000
 284  0.000000043239 -15.226530732597 36.000000
 285  0.000000042933 -15.226530789762 36.000000
 286  0.000000042630 -15.226530846122 36.000000
 287  0.000000042329 -15.226530901688 36.000000
 288  0.000000042029 -15.226530956471 36.000000
 289  0.000000041733 -15.226531010483 36.000000
 290  0.000000041438 -15.226531063735 36.000000
 291  0.000000041145 -15.226531116237 36.000000
 292  0.000000040854 -15.226531168000 36.000000
 293  0.000000040566 -15.226531219034 36.000000
 294  0.000000040279 -15.226531269351 36.000000
 295  0.000000039995 -15.226531318959 36.000000
 296  0.000000039712 -15.226531367869 36.000000
 297  0.000000039432 -15.226531416090 36.000000
 298  0.000000039154 -15.226531463634 36.000000
 299  0.000000038877 -15.226531510508 36.000000
 300  0.000000038603 -15.226531556723 36.000000
 301  0.000000038330 -15.226531602288 36.000000
 302  0.000000038060 -15.226531647212 36.000000
 303  0.000000037791 -15.226531691505 36.000000
 304  0.000000037525 -15.226531735174 36.000000
 305  0.000000037260 -15.226531778229 36.000000
 306  0.000000036997 -15.226531820679 36.000000
 307  0.000000036736 -15.226531862533 36.000000
 308  0.000000036477 -15.226531903797 36.000000
 309  0.000000036220 -15.226531944482 36.000000
 310  0.000000035964 -15.226531984595 36.000000
 311  0.000000035710 -15.226532024144 36.000000
 312  0.000000035459 -15.226532063138 36.000000
 313  0.000000035209 -15.226532101583 36.000000
 314  0.000000034960 -15.226532139488 36.000000
 315  0.000000034714 -15.226532176861 36.000000
 316  0.000000034469 -15.226532213709 36.000000
 317  0.000000034226 -15.226532250039 36.000000
 318  0.000000033985 -15.226532285858 36.000000
 319  0.000000033745 -15.226532321175 36.000000
 320  0.000000033508 -15.226532355995 36.000000
