    0    0    0    0 0.5037555283 0.0000000000
    0    0    0    1 0.4610258671 0.0006757763
    0    0    1    0 0.4610258671 -0.0006757763
    0    0    1    1 0.4962444717 0.0000000000
    0    1    0    0 0.0766949289 0.5238194290
    0    1    0    1 0.0125543921 -2.0846919580
    0    1    1    0 0.0119635536 2.1031799429
    0    1    1    1 0.0767576565 -0.5233487794
    0    2    0    0 0.0055520874 2.6207915935
    0    2    0    1 0.0059762136 2.0974456906
    0    2    1    0 0.0060116618 -2.0926667409
    0    2    1    1 0.0054981942 -2.6151981581
    0    3    0    0 0.0000199791 0.0000439327
    0    3    0    1 0.0024537290 0.0006756866
    0    3    1    0 0.0024537665 -0.0006760653
    0    3    1    1 0.0000199791 3.1415435393
    0    4    0    0 0.0055404508 -2.6195875633
    0    4    0    1 0.0059726909 -2.0950751196
    0    4    1    0 0.0060152694 2.0923608460
    0    4    1    1 0.0055098013 2.6164209998
    0    5    0    0 0.0766711758 -0.5239987384
    0    5    0    1 0.0125057702 2.0791242092
    0    5    1    0 0.0120141420 -2.1116255058
    0    5    1    1 0.0767814136 0.5231699736
    0    6    0    0 0.0766949225 0.5238196095
    0    6    0    1 0.0125543843 -2.0846898187
    0    6    1    0 0.0119635623 2.1031823052
    0    6    1    1 0.0767576599 -0.5233486581
    0    7    0    0 0.0766711730 -0.5239983336
    0    7    0    1 0.0125058064 2.0791284903
    0    7    1    0 0.0120141045 -2.1116210848
    0    7    1    1 0.0767814149 0.5231704077
    0    8    0    0 0.0000899473 -3.1415779833
    0    8    0    1 0.0110312760 -3.1409166902
    0    8    1    0 0.0110311679 3.1409169121
    0    8    1    1 0.0000899472 -0.0000068651
    0    9    0    0 0.0019918156 -2.6170963588
    0    9    0    1 0.0012346142 1.0502661603
    0    9    1    0 0.0012192112 -1.0454627833
    0    9    1    1 0.0019980935 2.6189182751
    0   10    0    0 0.0019894347 2.6164042928
    0   10    0    1 0.0012333180 -1.0507458126
    0   10    1    0 0.0012204999 1.0422973382
    0   10    1    1 0.0020004775 -2.6196040581
    0   11    0    0 0.0000899155 3.1415540651
    0   11    0    1 0.0110312543 -3.1409174848
    0   11    1    0 0.0110311899 3.1409161398
    0   11    1    1 0.0000899155 0.0000414049
    0   12    0    0 0.0055520925 2.6208025456
    0   12    0    1 0.0059762227 2.0974487152
    0   12    1    0 0.0060116521 -2.0926635569
    0   12    1    1 0.0054981893 -2.6151872154
    0   13    0    0 0.0000899128 3.1415770755
    0   13    0    1 0.0110312561 -3.1409172034
    0   13    1    0 0.0110311880 3.1409164803
    0   13    1    1 0.0000899129 0.0000194979
    0   14    0    0 0.0055404581 -2.6195884856
    0   14    0    1 0.0059726904 -2.0950751548
    0   14    1    0 0.0060152700 2.0923609957
    0   14    1    1 0.0055097940 2.6164200328
    0   15    0    0 0.0019894420 2.6164086505
    0   15    0    1 0.0012333199 -1.0507347695
    0   15    1    0 0.0012204980 1.0423084087
    0   15    1    1 0.0020004704 -2.6195997108
    0   16    0    0 0.0000121832 0.0001307529
    0   16    0    1 0.0014973669 0.0006757210
    0   16    1    0 0.0014973661 -0.0006759577
    0   16    1    1 0.0000121832 3.1414691819
    0   17    0    0 0.0019918207 -2.6171007043
    0   17    0    1 0.0012346061 1.0502564967
    0   17    1    0 0.0012192193 -1.0454724065
    0   17    1    1 0.0019980883 2.6189137801
    0   18    0    0 0.0000199921 0.0002130531
    0   18    0    1 0.0024537282 0.0006785950
    0   18    1    0 0.0024537671 -0.0006730463
    0   18    1    1 0.0000199921 3.1413813631
