00000  acc_hop acc_ex  n_hop    n_ex     : Tue Jun  7 14:34:13 2016
00001  0.40520 0.00000 16160    0        : Tue Jun  7 14:34:13 2016
00002  0.39248 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00003  0.37619 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00004  0.36551 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00005  0.35184 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00006  0.33292 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00007  0.30151 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00008  0.28784 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00009  0.29570 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00010  0.27435 0.00000 16016    0        : Tue Jun  7 14:34:13 2016
00011  0.25699 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00012  0.25812 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00013  0.25993 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00014  0.25418 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00015  0.26186 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00016  0.25674 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00017  0.27560 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00018  0.24444 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00019  0.24988 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00020  0.26449 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00021  0.25843 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00022  0.26998 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00023  0.26879 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00024  0.27379 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00025  0.27778 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00026  0.28353 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00027  0.27123 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00028  0.27597 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00029  0.28059 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00030  0.27847 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00031  0.27978 0.00000 16016    0        : Tue Jun  7 14:34:14 2016
00032  0.29296 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00033  0.27566 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00034  0.28684 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00035  0.29464 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00036  0.28147 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00037  0.28484 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00038  0.28453 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00039  0.28559 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00040  0.29002 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00041  0.28977 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00042  0.30064 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00043  0.28871 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00044  0.29083 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00045  0.28827 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00046  0.28909 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00047  0.29720 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00048  0.29308 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00049  0.29246 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00050  0.29502 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00051  0.30345 0.00000 16016    0        : Tue Jun  7 14:34:15 2016
00052  0.29352 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00053  0.28047 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00054  0.28409 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00055  0.29945 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00056  0.29333 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00057  0.29396 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00058  0.29764 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00059  0.30907 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00060  0.28603 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00061  0.29895 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00062  0.29833 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00063  0.29402 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00064  0.29439 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00065  0.30376 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00066  0.29090 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00067  0.29976 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00068  0.28790 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00069  0.28802 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00070  0.29065 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00071  0.29264 0.00000 16016    0        : Tue Jun  7 14:34:16 2016
00072  0.29321 0.00000 16016    0        : Tue Jun  7 14:34:17 2016
00073  0.29339 0.00000 16016    0        : Tue Jun  7 14:34:17 2016
00074  0.29995 0.00000 16016    0        : Tue Jun  7 14:34:17 2016
00075  0.29926 0.00000 16016    0        : Tue Jun  7 14:34:17 2016
00076  0.29739 0.00000 16016    0        : Tue Jun  7 14:34:17 2016
